eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
peter blackburn|||B-PER I-PER
brussels 1996-08-22|||B-LOC O
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep .|||O B-ORG I-ORG O O O O O O B-MISC O O O O O B-MISC O O O O O O O O O O O O O O
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .|||B-LOC O O O O B-ORG I-ORG O O O B-PER I-PER O O O O O O O O O O O B-LOC O O O O O O O
" we do n't support any such recommendation because we do n't see any grounds for it , " the commission 's chief spokesman nikolaus van der pas told a news briefing .|||O O O O O O O O O O O O O O O O O O O O B-ORG O O O B-PER I-PER I-PER I-PER O O O O O
he said further scientific study was required and if it was found that action was needed it should be taken by the european union .|||O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O
he said a proposal last month by eu farm commissioner franz fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .|||O O O O O O O B-ORG O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .|||B-PER O B-MISC O O O O B-LOC O B-LOC O O O O O O O B-MISC I-MISC I-MISC O B-MISC O O O O O O
but fischler agreed to review his proposal after the eu 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .|||O B-PER O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O
spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through " dangerous generalisation . "|||B-MISC O O B-PER I-PER I-PER O O O B-PER O O B-ORG O O O O O O O O O O O O O O
.|||O
only france and britain backed fischler 's proposal .|||O B-LOC O B-LOC O B-PER O O O
the eu 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .|||O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O
sheep have long been known to contract scrapie , a brain-wasting disease similar to bse which is believed to have been transferred to cattle through feed containing animal waste .|||O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O
british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .|||B-MISC O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O B-MISC O O O O O B-LOC O
" what we have to be extremely careful of is how other countries are going to take germany 's lead , " welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .|||O O O O O O O O O O O O O O O O O B-LOC O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O B-PER I-PER I-PER O O B-ORG I-ORG O
bonn has led efforts to protect public health after consumer confidence collapsed in march after a british report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .|||B-LOC O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O
germany imported 47,600 sheep from britain last year , nearly half of total imports .|||B-LOC O O O O B-LOC O O O O O O O O O
it brought in 4,275 tonnes of british mutton , some 10 percent of overall imports .|||O O O O O O B-MISC O O O O O O O O O
rare hendrix song draft sells for almost $ 17,000 .|||O B-PER O O O O O O O O
london 1996-08-22|||B-LOC O
a rare early handwritten draft of a song by u.s. guitar legend jimi hendrix was sold for almost $ 17,000 on thursday at an auction of some of the late musician 's favourite possessions .|||O O O O O O O O O B-LOC O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O
a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of " ai n't no telling " , which hendrix penned on a piece of london hotel stationery in late 1966 .|||O B-LOC O O O O O O O O O O O O O B-MISC I-MISC I-MISC I-MISC O O O B-PER O O O O O B-LOC O O O O O O
at the end of a january 1967 concert in the english city of nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .|||O O O O O O O O O O B-MISC O O B-LOC O O O O O O O O O O O O O O O O O O
